date,exchange,project,price_usd,price_orig,price_orig_symb,token_id,seller,buyer,tx_hash,used
2021-01-13 00:00:00+00:00,DCL MarketPlace,Decentraland,922.2,8999.0,MANA,115792089237316195423570985008687907833193325017305194695118482169438805163986,0x442baed6405a8755497dfdd6dd6974d6291a7d1,0x202b38c2dd98f9549c5900eeba5c0839d9cd589,0xbb103301f506babac2e07d33a6c7bcd2cca282450105dd8141b8150e932c424,True
2021-01-13 00:00:00+00:00,DCL MarketPlace,Decentraland,2512.995,9000.0,MANA,115792089237316195423570985008687907845103207859538040916336593429550692564996,0x2493e1d5ac3e63046b66b03268bc68b2f4fd6a6,0x6b5f18be0cd341dc29201e34ad3c1e342fda650,0x759dd6eb2a9bbbb7a537a6e11e131dcd6da97293a37ed594137e79d7f2f0628,True
2021-01-14 00:00:00+00:00,DCL MarketPlace,Decentraland,1027.923864,9999.0,MANA,13271012309916600075071609689838960246705,0xd13c44294c9d62fb38fef04ef5742fff72e0b88,0x52ad8f3c506aa25b954276c5456060dad6f3fd7,0x2a2eb3e93087531db61457605f3ebc9bf6f0116908cbf4a297901da991a498a,True
2021-01-14 00:00:00+00:00,DCL MarketPlace,Decentraland,1734.795,14900.0,MANA,115792089237316195423570985008687907835575301585751763939362104421461182644349,0x7c718d8c5362d4a4a857154d3d37b17166550a6,0xbc02db030361121dd43bbb2fcbcb4f9f98c1dc7,0xae32237a96b300a0568e32c43bc820105c41742379005d8b7a2a52f60bdacd0,True
2021-01-15 00:00:00+00:00,DCL MarketPlace,Decentraland,1013.75931,7999.0,MANA,50361790304298892592579441899901695295452,0x0cf90faa46af8d078381d5fb79f25ac9aa1099e,0xfb076dc52e7b750fb7779811048993541db4e57,0xb2859292cdc156c665b536295aa762e75f2a1f98c97698259b95cae957bc874,True
2021-01-16 00:00:00+00:00,DCL MarketPlace,Decentraland,1800.384,10000.0,MANA,115792089237316195423570985008687907837616995787277394720142352066051791913034,0x8445165437cb63affb2f143378d0ec63e024958,0xa927344a3144b68b272ca944d3cdec0555a3fbd,0x499caf57bc7ded068ce4c2c473e28c6b6b5cf979b189ae6cbb3cff496eda227,True
2021-01-16 00:00:00+00:00,DCL MarketPlace,Decentraland,1125.127476,8886.0,MANA,115792089237316195423570985008687907852249137564877748649067460185617825005507,0x25238f6f0b899dcad634047e048f3d200be4efb,0x498326152da7550d5f19163f8b833a2496ff096,0x3874dbd3d2a9498fe29d9d8663816530b7fc0a7eed3f128d17c283b5353cf8b,True
2021-01-16 00:00:00+00:00,DCL MarketPlace,Decentraland,1406.55,12500.0,MANA,115792089237316195423570985008687907849526878629510240941360463326163679313989,0x8b51c1ba09ee33e7649cac62ccb6d0f410f5647,0xb375e0c12bfa084d269dcbf412ea1d6b100aae5,0xe58a66b3aa25937b1118d0df8c96dc570e0a7a4c9453c773443df2b53edd4f4,True
2021-01-16 00:00:00+00:00,DCL MarketPlace,Decentraland,1125.127476,9999.0,MANA,115792089237316195423570985008687907852249137564877748649067460185617825005506,0x25238f6f0b899dcad634047e048f3d200be4efb,0x498326152da7550d5f19163f8b833a2496ff096,0x4486c6774f9f24b69f0c9a37c3760c9994c75d63bf840db274c32a214e44df5,True
2021-01-16 00:00:00+00:00,DCL MarketPlace,Decentraland,1682.121276,7990.0,MANA,115792089237316195423570985008687907815498641937416394595023002582986858168349,0xdd730eca74f05e2dc91af6a78944909a5a08112,0x9a3f239bc6b35c77165c334dc0eab0692dec4e6,0x13d8393bade9dcbdbed9271de0a63d7e025706a493a65f320385c96f3fda6ae,True
